order_id,device_id,order_creation_time,preceding_event,following_event,previous_status,status_time,count_total_events_before_3min,count_status_code_0_before_3min,count_status_code_200_before_3min,count_status_code_401_before_3min,count_error_econnaborted_before_3min,count_error_generic_error_before_3min,count_no_error_code_before_3min,count_total_events_after_3min,count_status_code_0_after_3min,count_status_code_200_after_3min,count_status_code_401_after_3min,count_error_econnaborted_after_3min,count_error_generic_error_after_3min,count_no_error_code_after_3min,count_total_events_before_60min,count_status_code_0_before_60min,count_status_code_200_before_60min,count_status_code_401_before_60min,count_error_econnaborted_before_60min,count_error_generic_error_before_60min,count_no_error_code_before_60min
102489610,71cbd9d5-01c5-4e7a-abdb-87ed574e9b54,2020-02-26 10:07:29,2020-02-26 10:07:26.051,2020-02-26 10:07:41.259,,,12,0,12,0,0,0,12,1,0,1,0,0,0,1,232,0,232,0,0,0,232
102490190,4a771d87-1cc3-4531-a671-9a2ae14628f0,2020-02-26 10:12:38,2020-02-26 10:12:28.417,2020-02-26 10:12:45.315,ONLINE,2020-02-26 03:17:50.780,11,0,11,0,0,0,11,11,0,11,0,0,0,11,34,0,34,0,0,0,34
102490403,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 10:14:07,2020-02-26 10:14:02.370,2020-02-26 10:14:17.915,,,11,0,11,0,0,0,11,11,0,11,0,0,0,11,104,0,104,0,0,0,104
102491029,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 10:19:41,2020-02-26 10:19:36.837,2020-02-26 10:19:52.128,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,224,2,222,0,2,0,222
102491096,a28920b9-43fe-448b-9d1d-7c0948ab206a,2020-02-26 10:23:17,2020-02-26 10:23:05.579,2020-02-26 10:23:21.135,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,231,0,231,0,0,0,231
102492637,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 10:34:00,2020-02-26 10:33:44.889,2020-02-26 10:34:00.112,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,228,1,227,0,1,0,227
102493319,34b21978-f8a9-4bb3-860b-50224b7a89f8,2020-02-26 10:40:11,2020-02-26 10:40:10.709,2020-02-26 10:40:26.110,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,225,0,225,0,0,0,225
102493461,5f4b4c82-b2b4-431d-8557-3c40489524e4,2020-02-26 10:40:53,2020-02-26 10:38:08.749,2020-02-26 10:41:41.367,,,1,0,1,0,0,0,1,9,0,9,0,0,0,9,10,0,10,0,0,0,10
102493606,5f4b4c82-b2b4-431d-8557-3c40489524e4,2020-02-26 10:41:58,2020-02-26 10:41:41.367,2020-02-26 10:42:02.898,,,1,0,1,0,0,0,1,12,0,12,0,0,0,12,11,0,11,0,0,0,11
102493778,27f5eb05-40d4-449d-a7e6-ddb764a6944a,2020-02-26 10:43:38,2020-02-26 10:43:35.804,2020-02-26 10:44:03.868,,,3,0,3,0,0,0,3,10,0,10,0,0,0,10,25,0,25,0,0,0,25
102494117,d0460656-95e0-4844-b515-36ef46c2d620,2020-02-26 10:46:27,2020-02-26 10:46:12.934,2020-02-26 10:46:29.772,,,7,0,7,0,0,0,7,1,0,1,0,0,0,1,10,0,10,0,0,0,10
102493927,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 10:48:51,2020-02-26 10:48:42.522,2020-02-26 10:48:57.799,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,138,0,138,0,0,0,138
102494695,2aec0e20-e1d8-4323-9b12-f066856488a7,2020-02-26 10:50:49,2020-02-26 10:50:46.317,2020-02-26 10:51:01.685,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,127,0,127,0,0,0,127
102494792,0799e9e6-dd31-43e5-adc0-7161841ee8a8,2020-02-26 10:52:40,2020-02-26 10:52:31.573,2020-02-26 10:52:47.227,,,6,0,6,0,0,0,6,12,0,12,0,0,0,12,121,0,121,0,0,0,121
102495503,269bfda4-bba8-4720-99d5-123381c14fbc,2020-02-26 10:57:16,2020-02-26 10:57:04.976,2020-02-26 10:57:20.278,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,144,0,144,0,0,0,144
102495234,7dd7a222-0b6c-4835-adb7-12013d02f1b0,2020-02-26 10:57:47,2020-02-26 10:57:45.745,2020-02-26 10:58:01.174,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,79,2,77,0,2,0,77
102495625,a8d153dc-2294-4446-b190-78dd8c306e74,2020-02-26 10:58:18,2020-02-26 10:58:02.669,2020-02-26 10:58:18.125,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,60,0,60,0,0,0,60
102495645,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 10:58:37,2020-02-26 10:58:25.382,2020-02-26 10:58:40.675,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,176,0,176,0,0,0,176
102495395,f6ef8126-4539-4296-8f18-0dbabde50361,2020-02-26 10:58:47,2020-02-26 10:58:35.730,2020-02-26 10:58:50.949,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,236,0,236,0,0,0,236
102495626,0799e9e6-dd31-43e5-adc0-7161841ee8a8,2020-02-26 10:59:12,2020-02-26 10:59:02.972,2020-02-26 10:59:18.610,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,146,0,146,0,0,0,146
102495032,0799e9e6-dd31-43e5-adc0-7161841ee8a8,2020-02-26 10:59:34,2020-02-26 10:59:18.610,2020-02-26 10:59:34.291,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,147,0,147,0,0,0,147
