order_id,device_id,order_creation_time,preceding_event,following_event,previous_status,status_time,count_total_events_before_3min,count_status_code_0_before_3min,count_status_code_200_before_3min,count_status_code_401_before_3min,count_error_econnaborted_before_3min,count_error_generic_error_before_3min,count_no_error_code_before_3min,count_total_events_after_3min,count_status_code_0_after_3min,count_status_code_200_after_3min,count_status_code_401_after_3min,count_error_econnaborted_after_3min,count_error_generic_error_after_3min,count_no_error_code_after_3min,count_total_events_before_60min,count_status_code_0_before_60min,count_status_code_200_before_60min,count_status_code_401_before_60min,count_error_econnaborted_before_60min,count_error_generic_error_before_60min,count_no_error_code_before_60min
102452116,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:08:19,2020-02-26 00:08:12.125,2020-02-26 00:11:09.350,,,4.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,1.0,31.0,0.0,1.0,0.0,31.0
102452190,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:08:41,2020-02-26 00:08:12.125,2020-02-26 00:11:09.350,,,4.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,32.0,1.0,31.0,0.0,1.0,0.0,31.0
102453036,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:13:57,2020-02-26 00:13:12.644,2020-02-26 00:14:20.578,,,5.0,0.0,5.0,0.0,0.0,0.0,5.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,37.0,1.0,36.0,0.0,1.0,0.0,36.0
102453649,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:17:31,2020-02-26 00:17:29.623,2020-02-26 00:17:51.097,,,8.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,46.0,1.0,45.0,0.0,1.0,0.0,45.0
102453774,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:18:22,2020-02-26 00:18:06.815,2020-02-26 00:18:22.565,,,8.0,0.0,8.0,0.0,0.0,0.0,8.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,48.0,1.0,47.0,0.0,1.0,0.0,47.0
102454140,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:20:48,2020-02-26 00:20:33.516,2020-02-26 00:20:48.977,,,9.0,0.0,9.0,0.0,0.0,0.0,9.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,55.0,1.0,54.0,0.0,1.0,0.0,54.0
102456632,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:40:14,2020-02-26 00:40:11.531,2020-02-26 00:40:23.390,,,26.0,0.0,26.0,0.0,0.0,0.0,26.0,28.0,3.0,25.0,0.0,3.0,0.0,25.0,176.0,1.0,175.0,0.0,1.0,0.0,175.0
102458251,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:49:57,2020-02-26 00:49:53.945,2020-02-26 00:49:58.898,ONLINE,2020-02-26 00:44:19.575,19.0,0.0,19.0,0.0,0.0,0.0,19.0,18.0,0.0,18.0,0.0,0.0,0.0,18.0,248.0,4.0,244.0,0.0,4.0,0.0,244.0
102458819,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 00:53:46,2020-02-26 00:53:33.391,2020-02-26 00:53:55.732,ONLINE,2020-02-26 00:44:19.575,16.0,0.0,16.0,0.0,0.0,0.0,16.0,19.0,0.0,19.0,0.0,0.0,0.0,19.0,270.0,4.0,266.0,0.0,4.0,0.0,266.0
102463944,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 01:32:28,2020-02-26 01:32:12.189,2020-02-26 01:32:28.236,ONLINE,2020-02-26 00:44:19.575,10.0,0.0,10.0,0.0,0.0,0.0,10.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,276.0,4.0,272.0,0.0,4.0,0.0,272.0
102472308,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 03:01:56,2020-02-26 03:01:21.107,2020-02-26 03:02:21.237,ONLINE,2020-02-26 02:08:53.501,5.0,1.0,4.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,128.0,5.0,123.0,0.0,4.0,1.0,123.0
102472764,d0bc996f-72d2-4ec2-8f40-d82d81120862,2020-02-26 03:10:38,2020-02-26 03:10:37.321,2020-02-26 03:11:23.544,ONLINE,2020-02-26 02:08:53.501,2.0,0.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,113.0,6.0,107.0,0.0,6.0,0.0,107.0
102478030,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 08:01:56,2020-02-26 08:01:48.285,2020-02-26 08:02:03.560,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,139.0,0.0,139.0,0.0,0.0,0.0,139.0
102480065,4a17c933-9d3f-4adf-8841-078d38890176,2020-02-26 08:03:56,,2020-02-26 09:04:23.823,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102480758,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:14:24,2020-02-26 08:14:10.627,2020-02-26 08:14:25.919,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,232.0,0.0,232.0,0.0,0.0,0.0,232.0
102480819,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:16:44,2020-02-26 08:16:43.643,2020-02-26 08:16:58.948,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,233.0,0.0,233.0,0.0,0.0,0.0,233.0
102481086,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:19:59,2020-02-26 08:19:47.833,2020-02-26 08:20:03.168,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,232.0,0.0,232.0,0.0,0.0,0.0,232.0
102481121,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:20:43,2020-02-26 08:20:33.432,2020-02-26 08:20:48.791,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,232.0,0.0,232.0,0.0,0.0,0.0,232.0
102481959,b5abcecd-8afe-4fe5-9c4c-a6539308984f,2020-02-26 08:34:17,2020-02-26 08:34:03.277,2020-02-26 08:34:18.549,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,49.0,0.0,49.0,0.0,0.0,0.0,49.0
102482173,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 08:38:01,2020-02-26 08:37:51.945,2020-02-26 08:38:07.308,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,231.0,0.0,231.0,0.0,0.0,0.0,231.0
102482468,a383c3fa-200c-4dcc-a09f-13a86348a1ef,2020-02-26 08:48:44,2020-02-26 08:42:15.277,2020-02-26 08:49:40.345,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0
102483020,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 08:59:18,2020-02-26 08:59:14.177,2020-02-26 08:59:29.420,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,189.0,0.0,189.0,0.0,0.0,0.0,189.0
102483198,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 09:02:00,2020-02-26 09:01:46.931,2020-02-26 09:02:02.185,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,189.0,0.0,189.0,0.0,0.0,0.0,189.0
102483764,b5abcecd-8afe-4fe5-9c4c-a6539308984f,2020-02-26 09:02:53,2020-02-26 09:02:42.494,2020-02-26 09:02:57.969,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,141.0,0.0,141.0,0.0,0.0,0.0,141.0
102484964,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 09:17:06,2020-02-26 09:16:48.388,2020-02-26 09:26:38.197,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,189.0,0.0,0.0,0.0,189.0
102485717,848e2349-5375-46e8-800f-40579b93727b,2020-02-26 09:26:46,2020-02-26 08:20:05.193,2020-02-26 09:59:39.597,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102486059,1f431c5f-3ee7-4e5a-a450-1f31779bfd53,2020-02-26 09:32:13,2020-02-26 09:31:40.694,2020-02-26 09:32:28.339,,,10.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,170.0,0.0,170.0,0.0,0.0,0.0,170.0
102486433,848e2349-5375-46e8-800f-40579b93727b,2020-02-26 09:34:46,2020-02-26 08:20:05.193,2020-02-26 09:59:39.597,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102489610,71cbd9d5-01c5-4e7a-abdb-87ed574e9b54,2020-02-26 10:07:29,2020-02-26 10:07:26.051,2020-02-26 10:07:41.259,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,232.0,0.0,232.0,0.0,0.0,0.0,232.0
102490190,4a771d87-1cc3-4531-a671-9a2ae14628f0,2020-02-26 10:12:38,2020-02-26 10:12:28.417,2020-02-26 10:12:45.315,ONLINE,2020-02-26 03:17:50.780,11.0,0.0,11.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,34.0,0.0,34.0,0.0,0.0,0.0,34.0
102490403,884bd7b1-4f5c-4afb-913a-5e6e5ee03b3d,2020-02-26 10:14:07,2020-02-26 10:14:02.370,2020-02-26 10:14:17.915,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,104.0,0.0,104.0,0.0,0.0,0.0,104.0
102490581,4949cbf9-7982-446d-816d-78da02868425,2020-02-26 10:15:55,2020-02-26 00:45:06.895,2020-02-26 10:34:52.099,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102490810,2aec0e20-e1d8-4323-9b12-f066856488a7,2020-02-26 10:17:49,,2020-02-26 10:18:41.436,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102491029,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 10:19:41,2020-02-26 10:19:36.837,2020-02-26 10:19:52.128,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,224.0,2.0,222.0,0.0,2.0,0.0,222.0
102491337,ad1467f7-a727-4d9b-bece-79609e64c85f,2020-02-26 10:22:35,,2020-02-26 10:44:19.114,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102491366,4949cbf9-7982-446d-816d-78da02868425,2020-02-26 10:22:56,2020-02-26 00:45:06.895,2020-02-26 10:34:52.099,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102491096,a28920b9-43fe-448b-9d1d-7c0948ab206a,2020-02-26 10:23:17,2020-02-26 10:23:05.579,2020-02-26 10:23:21.135,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,231.0,0.0,231.0,0.0,0.0,0.0,231.0
102491695,4949cbf9-7982-446d-816d-78da02868425,2020-02-26 10:25:52,2020-02-26 00:45:06.895,2020-02-26 10:34:52.099,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102491906,d0460656-95e0-4844-b515-36ef46c2d620,2020-02-26 10:27:57,2020-02-26 10:22:16.545,2020-02-26 10:44:21.582,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0
102492571,a8d153dc-2294-4446-b190-78dd8c306e74,2020-02-26 10:33:46,2020-02-26 00:21:52.446,2020-02-26 10:42:33.784,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102492637,4698f8d3-9b6e-4c44-9eb6-296a1b90d86f,2020-02-26 10:34:00,2020-02-26 10:33:44.889,2020-02-26 10:34:00.112,,,11.0,0.0,11.0,0.0,0.0,0.0,11.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,228.0,1.0,227.0,0.0,1.0,0.0,227.0
102492697,2bb11f99-ab21-4628-abe6-b919da8fbf34,2020-02-26 10:34:36,2020-02-26 01:44:31.176,2020-02-26 10:39:01.481,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102492671,27f5eb05-40d4-449d-a7e6-ddb764a6944a,2020-02-26 10:34:37,2020-02-26 10:24:36.283,2020-02-26 10:36:27.493,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,14.0,0.0,14.0,0.0,0.0,0.0,14.0
102492761,1cdc8ef5-3752-4200-8b84-3a1df38b195f,2020-02-26 10:35:27,2020-02-26 02:49:58.151,2020-02-26 10:49:11.250,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102492935,c321b47e-940b-47ff-92a0-3e4eeeb5550f,2020-02-26 10:36:49,,2020-02-26 13:51:56.739,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102493319,34b21978-f8a9-4bb3-860b-50224b7a89f8,2020-02-26 10:40:11,2020-02-26 10:40:10.709,2020-02-26 10:40:26.110,,,12.0,0.0,12.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,225.0,0.0,225.0,0.0,0.0,0.0,225.0
102493386,a8d153dc-2294-4446-b190-78dd8c306e74,2020-02-26 10:40:15,2020-02-26 00:21:52.446,2020-02-26 10:42:33.784,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102493461,5f4b4c82-b2b4-431d-8557-3c40489524e4,2020-02-26 10:40:53,2020-02-26 10:38:08.749,2020-02-26 10:41:41.367,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0
102493584,b805662b-e56d-448a-bd81-9cb71a6efb16,2020-02-26 10:41:54,2020-02-26 02:53:08.300,2020-02-26 10:50:11.575,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102493606,5f4b4c82-b2b4-431d-8557-3c40489524e4,2020-02-26 10:41:58,2020-02-26 10:41:41.367,2020-02-26 10:42:02.898,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0
102493678,4949cbf9-7982-446d-816d-78da02868425,2020-02-26 10:42:53,2020-02-26 10:39:27.997,2020-02-26 21:27:05.656,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,18.0
102493778,27f5eb05-40d4-449d-a7e6-ddb764a6944a,2020-02-26 10:43:38,2020-02-26 10:43:35.804,2020-02-26 10:44:03.868,,,3.0,0.0,3.0,0.0,0.0,0.0,3.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0
102494026,4949cbf9-7982-446d-816d-78da02868425,2020-02-26 10:45:37,2020-02-26 10:39:27.997,2020-02-26 21:27:05.656,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,18.0
